seed,sample_set,method,stratum_column,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,NaiveForecaster,2496,0.4908590133643021,3.878190634178146,0.20883626434239452,0.19150641025641027,1.2002094842335702,0.7457320813440907,0.5098989980760962
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,NaiveForecaster,2496,0.4821343920483368,3.49530506410684,0.20011164302642925,0.19150641025641027,1.2002094842335702,0.7457320813440907,0.5098989980760962
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,ES,4000,0.1748193191319442,0.5930275820191414,0.08023692073168787,0.00225,1.494658885397017,0.928683780747098,0.2924671234153211
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,ES,4000,0.15873834515366617,0.4841172696627732,0.06415594675340981,0.00225,1.494658885397017,0.928683780747098,0.2924671234153211
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,DLinear,4000,0.35522640179195153,0.5891232252986366,0.015683929054765056,0.87975,1.1401711862861412,0.7084281894178546,0.5082923014909029
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,DLinear,4000,0.3717997906056407,0.5918643886682944,0.032257317868454295,0.87975,1.1401711862861412,0.7084281894178546,0.5082923014909029
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,CrossFormer,4000,0.6014239673506235,1.6678509190869901,0.1560804593244102,0.0,1.148114119708538,0.713363411436071,0.5014302023760975
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,CrossFormer,4000,0.5143331656964729,1.240862719839854,0.06898965767025951,0.0,1.148114119708538,0.713363411436071,0.5014302023760975
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,PatchTST,4000,0.46792371881898726,0.7644676744253102,0.10844687975721899,0.22,1.147920020084828,0.713242810559075,0.47664585303515195
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,PatchTST,4000,0.41554233578577987,0.6581842700544287,0.056065496724011635,0.22,1.147920020084828,0.713242810559075,0.47664585303515195
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,NaiveForecaster,4000,0.49497477401604556,4.834468848634542,0.20646877821808765,0.187,1.193165826650802,0.7413556108208413,0.5140079558603465
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,NaiveForecaster,4000,0.4872807850365352,4.540388692628648,0.19877478923857733,0.187,1.193165826650802,0.7413556108208413,0.5140079558603465
16,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,error_gap_quantile,q5,4789,0.6944763950633472,7.66485361717461,0.21178462079058802,0.570474002923366,1.1382903562205204,0.7072595639921143,0.5186775968265972
16,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,error_gap_quantile,q5,4789,0.6980775189682247,7.256408458008528,0.21538574469546545,0.570474002923366,1.1382903562205204,0.7072595639921143,0.5186775968265972
16,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,error_gap_quantile,q3,6674,0.4141646287045231,0.8119395376351296,0.08341069737770629,0.37293976625711717,1.1773430982919715,0.7315243969314528,0.4861911229425324
