row_type,tail_name,tail_basis_system,evaluated_system,tail_metric,quantile,threshold,sample_count,tail_overlap_count,tail_union_count,tail_overlap_jaccard,mean_soft_MAE,mean_soft_MSE,mean_regret,mean_hard_top1_MAE,oracle_label_accuracy,weight_entropy,mean_max_weight,category,count,ratio
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,CrossFormer,582,0.1552
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,DLinear,684,0.1824
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,ES,1211,0.32293333333333335
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,NaiveForecaster,594,0.1584
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,PatchTST,679,0.18106666666666665
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,CrossFormer,389,0.10373333333333333
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,DLinear,445,0.11866666666666667
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,ES,773,0.20613333333333334
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,NaiveForecaster,291,0.0776
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,PatchTST,1852,0.4938666666666667
