sample_set,layout_name,stratum_column,stratum_value,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,entropy,mean_max_weight,oracle_label_accuracy
staged_selection,spatial_panel_3view,group_name,HIGH_LOW_LOW,12624,0.5065457098277943,4.66943815174906,0.08440684247268739,0.5243354225745764,1.1695749533256645,0.50261928851826,0.3320659062103929
staged_selection,spatial_panel_3view,group_name,LOW_LOW_LOW,12294,0.45131983138192683,1.076916259348469,0.07342348157210325,0.46689671866494276,1.2035056153327457,0.4816306842906467,0.2913616398243045
staged_selection,spatial_panel_3view,group_name,HIGH_LOW_HIGH,12510,0.2741180704584882,0.20517283108648568,0.03933154570643597,0.28436955757510607,1.0879934037180183,0.523051469734342,0.3872102318145484
staged_selection,spatial_panel_3view,group_name,LOW_LOW_HIGH,12437,0.15407615612984216,0.33395893641053925,0.01999818384270702,0.16338984212788915,1.3362367498258796,0.3859505421075635,0.17367532363110075
staged_test,spatial_panel_3view,group_name,HIGH_LOW_LOW,45817,0.7787224582401283,992.5187687225792,0.1487350890971774,0.8058823170851256,1.125882850528438,0.5266089876169103,0.33930637099766464
staged_test,spatial_panel_3view,group_name,LOW_HIGH_HIGH,26323,0.29254793614046226,1.1121926279051204,0.047271917044326414,0.29904636123898803,0.7956460078715049,0.6711728514804353,0.5735288530942522
staged_test,spatial_panel_3view,group_name,LOW_LOW_LOW,51202,0.5054108430797656,1.5755323056125399,0.09020611669292782,0.5218550551014675,1.1976465704528458,0.4845520026903544,0.2853013554158041
staged_test,spatial_panel_3view,group_name,HIGH_LOW_HIGH,59432,0.3323493893367031,2.8323484893011592,0.049202762034717115,0.3440201907663761,1.0960841439109397,0.520440800087134,0.36973347691479336
staged_test,spatial_panel_3view,group_name,LOW_LOW_HIGH,49995,0.17867950533535987,1.1173646342386874,0.030848322391305256,0.18740192450134643,1.3425981146294892,0.3823821770258457,0.16667666766676667
staged_test,spatial_panel_3view,group_name,LOW_HIGH_LOW,15703,0.39659224608427834,10.007700264748397,0.06825733424595813,0.41034497582200863,0.9488091638672572,0.6062745179648628,0.4943641342418646
