variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,18,film_cls_aux_hard_top1,CrossFormer,3149,0.3149
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,18,film_cls_aux_hard_top1,DLinear,4472,0.4472
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,18,film_cls_aux_hard_top1,ES,602,0.0602
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,18,film_cls_aux_hard_top1,NaiveForecaster,428,0.0428
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,18,film_cls_aux_hard_top1,PatchTST,1349,0.1349
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,18,film_cls_aux_raw_soft_fusion,CrossFormer,3149,0.3149
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,18,film_cls_aux_raw_soft_fusion,DLinear,4472,0.4472
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,18,film_cls_aux_raw_soft_fusion,ES,602,0.0602
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,18,film_cls_aux_raw_soft_fusion,NaiveForecaster,428,0.0428
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,18,film_cls_aux_raw_soft_fusion,PatchTST,1349,0.1349
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,16,film_cls_mean_concat_aux_hard_top1,CrossFormer,452,0.0452
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,16,film_cls_mean_concat_aux_hard_top1,DLinear,6392,0.6392
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,16,film_cls_mean_concat_aux_hard_top1,ES,453,0.0453
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,16,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,755,0.0755
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,16,film_cls_mean_concat_aux_hard_top1,PatchTST,1948,0.1948
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,452,0.0452
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,6392,0.6392
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,ES,453,0.0453
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,755,0.0755
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,1948,0.1948
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,CrossFormer,389,0.0389
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,DLinear,4616,0.4616
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,ES,3007,0.3007
